,iht2,kziht2,iht3,kziht3,iht4,kziht4
0,0.3177264410647407,0.37300649462308527,0.41437031589907114,0.4676048406650398,0.49574428432869333,0.5808500176860424
1,0.13315552290751756,0.1661633282071912,0.21534260345770195,0.2480116246393635,0.2963133032241421,0.36881509172723015
2,0.06005599629838989,0.08152090584368092,0.12128876941176751,0.14026256979535595,0.18804943771621205,0.23951856088579185
3,0.028819862426003838,0.04291404446260822,0.07221586558373505,0.08321494172913788,0.12434432893597847,0.15903317621135876
4,0.014328319840350068,0.02351706764232551,0.04449740370044595,0.051624103554104274,0.08468982803422519,0.109882955394177
5,0.007293624621191685,0.01323934135541088,0.02805298188154002,0.0326498818687442,0.05880486556815473,0.07667457398706115
6,0.0037747346832439125,0.007579578034781631,0.01797595208427411,0.02121937510981661,0.04145638663548297,0.055020038757016096
7,0.0019779536360219592,0.004400127561806306,0.011657987559534155,0.013970902636168753,0.02955564802912037,0.03955889224513964
8,0.0010465447516631548,0.0025817986836116904,0.007631498703601454,0.009341619803869427,0.021266914559274454,0.02886386103181422
9,0.0005580645885639536,0.001525207533306126,0.005033075290002606,0.00631560722479689,0.015416824507471083,0.02112942828781501
10,0.00029949744431709394,0.0009067903489092224,0.0033398115784263618,0.00428430413400821,0.011246802831839868,0.015619813808537381
11,0.0001615936821270317,0.0005419126260130634,0.0022276341458095715,0.002926122355952618,0.008248562725065151,0.01154249119762155
12,8.758343489796691e-05,0.0003255615567358489,0.0014923481232020327,0.0020090298844149352,0.006077706378473968,0.008638762427717502
13,4.7654372438925655e-05,0.0001961931137792171,0.0010035499539099101,0.0013845166042762748,0.0044962481171407,0.006477177882653123
14,2.6015902736236638e-05,0.00011886586354858241,0.0006770788826978528,0.0009571955849544218,0.0033381565872721715,0.004864062238412728
15,1.4244407119083513e-05,7.221426742996509e-05,0.00045813811026968214,0.0006645698051939203,0.0024861869538683017,0.003684657607162378
16,7.819265360789234e-06,4.405050444004326e-05,0.0003107881614226797,0.00046266809627570785,0.0018568997188551106,0.0028012899107716684
17,4.302057937776866e-06,2.6919285113302187e-05,0.0002113097577023802,0.0003234673749371179,0.0013904237383830123,0.002138929606323548
18,2.3717492577188662e-06,1.64918035584887e-05,0.00014396459703215565,0.00022588701092088537,0.0010435315556367392,0.0016298873001124846
19,1.3099475250558263e-06,1.0114621917844694e-05,9.826108093706917e-05,0.000158183509086941,0.0007848253917073035,0.0012501194694486777
20,7.246960337620875e-07,6.218374236974728e-06,6.717657116236478e-05,0.00011072885089315163,0.00059138638352755,0.0009523829593038749
21,4.0152297067452424e-07,3.825110638469087e-06,4.599341386183424e-05,7.769835015976571e-05,0.00044640804354135945,0.0007312408168269901
22,2.227729985703114e-07,2.357324570432674e-06,3.153223838992067e-05,5.4329746247026996e-05,0.00033751671442562884,0.0005626963439545088
23,1.2375573128131385e-07,1.4531733514367231e-06,2.1644255421490424e-05,3.820184352559711e-05,0.00025556918547871575,0.00043382875274034416
24,6.883007315946872e-08,8.975411832875993e-07,1.4873495484024986e-05,2.682186398758485e-05,0.0001937872272237098,0.00033386877495364024
25,3.8323599199268274e-08,5.543902764519463e-07,1.0231173816729411e-05,1.8885144931908915e-05,0.00014713097559267949,0.000257744264883331
26,2.135989474155726e-08,3.4293854773631467e-07,7.044403908046922e-06,1.3284017201388995e-05,0.00011184299954692535,0.0001983570379654662
27,1.1916540019384631e-08,2.121940555747782e-07,4.854427060090557e-06,9.376320183421619e-06,8.51151030727068e-05,0.00015317958168518448
28,6.654206148128459e-09,1.3140404776195634e-07,3.3479495062711517e-06,6.6227917809726655e-06,6.484379390639412e-05,0.0001179665244091888
29,3.7189203232073118e-09,8.140101888586034e-08,2.3106940170108094e-06,4.683649607444992e-06,4.945019432610611e-05,9.10159010109621e-05
30,2.0801466277863664e-09,5.045615989828945e-08,1.5959041579660773e-06,3.315887022094502e-06,3.7746944964205003e-05,7.01016788316438e-05
31,1.164424643839946e-09,3.1296472185784146e-08,1.1029418508823678e-06,2.3497572469024446e-06,2.8839553028070877e-05,5.4326761020587884e-05
32,6.523111171339338e-10,1.9432800793911026e-08,7.627155320555367e-07,1.6654842415007014e-06,2.2053057617472314e-05,4.195672855736897e-05
33,3.656884153541476e-10,1.2062038714117615e-08,5.277415453286914e-07,1.1814548623547607e-06,1.687738106083141e-05,3.256234183871444e-05
34,2.051487968075433e-10,7.488721442692789e-09,3.6535483300626993e-07,8.378570214885115e-07,1.292650594035397e-05,2.5136804288951413e-05
35,1.1516417770276592e-10,4.648482643299934e-09,2.530642917107892e-07,5.944348639375882e-07,9.907916040082381e-06,1.947924112263832e-05
36,6.469145281024835e-11,2.886137584610563e-09,1.7537113498197085e-07,4.219828729925561e-07,7.599673784748853e-06,1.4995386021009403e-05
37,3.636209046159484e-11,1.7938047077937007e-09,1.2158680850552775e-07,2.9996272505769515e-07,5.833194792037795e-06,1.1649173352739393e-05
38,2.0451003202636346e-11,1.1146966667685564e-09,8.433478227338611e-08,2.1321144590876996e-07,4.480281023798012e-06,8.988737303700596e-06
39,1.1508980218666182e-11,6.933552260864516e-10,5.852084352459275e-08,1.5195820474782862e-07,3.443344362977243e-06,6.997124175351742e-06
40,6.480554657017377e-12,4.3071159466972604e-10,4.062472205002868e-08,1.0840819452529532e-07,2.648024534828506e-06,5.414667270574858e-06
41,3.651097314857055e-12,2.679300431656962e-10,2.8212349402791917e-08,7.758922757094793e-08,2.037607288384729e-06,4.212744049143624e-06
42,2.0581155645883285e-12,1.66676844350129e-10,1.959976015723076e-08,5.543328193857722e-08,1.5687982534639672e-06,3.2743316812828867e-06
43,1.1607882962733637e-12,1.0381387035652089e-10,1.3621315695370753e-08,3.959071211759946e-08,1.2085193036182711e-06,2.5624736011280713e-06
44,6.550407397831783e-13,6.468429978746599e-11,9.469755215663761e-09,2.825013039918587e-08,9.314771986878917e-07,2.0015278008591543e-06
45,3.698353506232429e-13,4.0338965051276464e-11,6.5857441386360634e-09,2.0223111603924874e-08,7.183163190882574e-07,1.5669021367496742e-06
46,2.089217277785283e-13,2.514528182912118e-11,4.5815532371513555e-09,1.4447204014049242e-08,5.542137058122554e-07,1.2195523591371654e-06
47,1.1808921260382672e-13,1.5678297287842662e-11,3.1882919760933187e-09,1.0339532609909589e-08,4.2780944487175563e-07,9.561607720188586e-07
48,6.678101350848163e-14,9.775133347972323e-12,2.2194068603646104e-09,7.386269965647083e-09,3.3039158334845994e-07,7.472180495476832e-07
49,3.783221965153309e-14,6.100979061669636e-12,1.5454163727633091e-09,5.278861075805892e-09,2.552744488359115e-07,5.875151342952563e-07
50,2.1481059768703867e-14,3.805973997027234e-12,1.076416525492225e-09,3.775277754945924e-09,1.9732407121097232e-07,4.616731168273415e-07
51,1.2276320369119842e-14,2.376574725581413e-12,7.49960096092428e-10,2.697950126190367e-09,1.5259560145697574e-07,3.618986465744416e-07
52,7.056447908410497e-15,1.4833549730168052e-12,5.226558788590805e-10,1.9307710457284135e-09,1.1805607698910267e-07,2.822698892083476e-07
53,4.176096670892879e-15,9.267075273293002e-13,3.6434308614038397e-10,1.382766859923572e-09,9.137228355959817e-08,2.2244962450330205e-07
54,2.488245312368555e-15,5.786061094529693e-13,2.5405018546619983e-10,9.912160715491164e-10,7.074830925588934e-08,1.7373905528974054e-07
